ordinal  pipeline_event           transport_fanout  frontend_parsed
-------  -----------------------  ----------------  ---------------
1        ChatUserMessageAccepted  yes               yes            
2        ChatInferenceStarted     yes               yes            
3        ChatReasoningStarted     yes               yes            
4        ChatReasoningDelta       yes               yes            
5        ChatReasoningDelta       yes               yes            
6        ChatReasoningDelta       yes               yes            
7        ChatReasoningDelta       yes               yes            
8        ChatReasoningDelta       yes               yes            
9        ChatReasoningDelta       yes               yes            
10       ChatReasoningDelta       yes               yes            
11       ChatReasoningDelta       yes               yes            
12       ChatReasoningDelta       yes               yes            
13       ChatReasoningDelta       yes               yes            
14       ChatReasoningDelta       yes               yes            
15       ChatReasoningDelta       yes               yes            
16       ChatReasoningDelta       yes               yes            
17       ChatReasoningDelta       yes               yes            
18       ChatReasoningDelta       yes               yes            
19       ChatReasoningDelta       yes               yes            
20       ChatReasoningDelta       yes               yes            
21       ChatReasoningDelta       yes               yes            
22       ChatReasoningDelta       yes               yes            
23       ChatReasoningDelta       yes               yes            
24       ChatReasoningDelta       yes               yes            
25       ChatReasoningDelta       yes               yes            
26       ChatReasoningDelta       yes               yes            
27       ChatReasoningDelta       yes               yes            
28       ChatReasoningDelta       yes               yes            
29       ChatReasoningDelta       yes               yes            
30       ChatReasoningDelta       yes               yes            
31       ChatReasoningDelta       yes               yes            
32       ChatReasoningDelta       yes               yes            
33       ChatReasoningDelta       yes               yes            
34       ChatReasoningDelta       yes               yes            
35       ChatReasoningDelta       yes               yes            
36       ChatReasoningDelta       yes               yes            
37       ChatReasoningDelta       yes               yes            
38       ChatReasoningDelta       yes               yes            
39       ChatReasoningDelta       yes               yes            
40       ChatReasoningDelta       yes               yes            
41       ChatReasoningDelta       yes               yes            
42       ChatReasoningDelta       yes               yes            
43       ChatReasoningDelta       yes               yes            
44       ChatReasoningDelta       yes               yes            
45       ChatReasoningDelta       yes               yes            
46       ChatReasoningDelta       yes               yes            
47       ChatReasoningDelta       yes               yes            
48       ChatReasoningDelta       yes               yes            
49       ChatReasoningDelta       yes               yes            
50       ChatReasoningDelta       yes               yes            
51       ChatReasoningDelta       yes               yes            
52       ChatReasoningDelta       yes               yes            
53       ChatReasoningDelta       yes               yes            
54       ChatReasoningDelta       yes               yes            
55       ChatReasoningDelta       yes               yes            
56       ChatReasoningDelta       yes               yes            
57       ChatReasoningDelta       yes               yes            
58       ChatReasoningDelta       yes               yes            
59       ChatReasoningDelta       yes               yes            
60       ChatReasoningDelta       yes               yes            
61       ChatReasoningDelta       yes               yes            
62       ChatReasoningDelta       yes               yes            
63       ChatReasoningDelta       yes               yes            
64       ChatReasoningDelta       yes               yes            
65       ChatReasoningDelta       yes               yes            
66       ChatReasoningDelta       yes               yes            
67       ChatReasoningDelta       yes               yes            
68       ChatReasoningDelta       yes               yes            
69       ChatReasoningDelta       yes               yes            
70       ChatReasoningDelta       yes               yes            
71       ChatReasoningDelta       yes               yes            
72       ChatReasoningDelta       yes               yes            
73       ChatReasoningDelta       yes               yes            
74       ChatReasoningDelta       yes               yes            
75       ChatReasoningDelta       yes               yes            
76       ChatReasoningDelta       yes               yes            
77       ChatReasoningDelta       yes               yes            
78       ChatReasoningDelta       yes               yes            
79       ChatReasoningDelta       yes               yes            
80       ChatReasoningDelta       yes               yes            
kind         entity_id              created_ordinal  last_event_ordinal  tombstone  payload_preview                                             
-----------  ---------------------  ---------------  ------------------  ---------  ------------------------------------------------------------
ChatMessage  chat-msg-1:thinking:1  4                381                 0          {"content":"**Calculating simple arithmetic**\n\nThe user is
                                                                                     asking a simple math question: \"What is 5 + 6?\" Since my 
                                                                                    mode is set to financial analyst, I need to ensure I address
                                                                                     their request clearly. I should provide the answer directly
                                                                                    : \"5 + 6 equals 11.\" To follow their instructions for brie
