rn  provider_record_id  provider_item_id                                       provider_delta                      geppetto_event_record_id  geppetto_delta                      backend_ordinal  backend_message_id     frontend_ordinal  frontend_message_id    ui_mutation_message_id  timeline_entity_id     timeline_created_ordinal  timeline_last_event_ordinal
--  ------------------  -----------------------------------------------------  ----------------------------------  ------------------------  ----------------------------------  ---------------  ---------------------  ----------------  ---------------------  ----------------------  ---------------------  ------------------------  ---------------------------
1   26                  rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  '**Calculating simple arithmetic**  31                        '**Calculating simple arithmetic**  4                chat-msg-1:thinking:1  4                 chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        
                                                                                                                                                                                                                                                                                                                                                                      
                                                                               The'                                                          The'                                                                                                                                                                                                                     

2   33                  rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' user'                             38                        ' user'                             5                chat-msg-1:thinking:1  5                 chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

3   40                  rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' is'                               45                        ' is'                               6                chat-msg-1:thinking:1  6                 chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

4   47                  rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' asking'                           52                        ' asking'                           7                chat-msg-1:thinking:1  7                 chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

5   54                  rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' a'                                59                        ' a'                                8                chat-msg-1:thinking:1  8                 chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

6   61                  rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' simple'                           66                        ' simple'                           9                chat-msg-1:thinking:1  9                 chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

7   68                  rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' math'                             73                        ' math'                             10               chat-msg-1:thinking:1  10                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

8   75                  rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' question'                         80                        ' question'                         11               chat-msg-1:thinking:1  11                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

9   82                  rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ':'                                 87                        ':'                                 12               chat-msg-1:thinking:1  12                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

10  89                  rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' "'                                94                        ' "'                                13               chat-msg-1:thinking:1  13                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

